""," SL No"," NLEM Version"," Formulation"," Dosage & Strength"," SO Number"," SO Date"," Ceiling Price ( Excluding Taxes) (Rs.)(Per Unit)"
"","66","2015","Glucose (A) +
Sodium Chloride (B)","Injection 5% (A) + 0.9% (B)","1581(E)","25-Mar-2026","₹ 82.41(1000ml Glass)"
"","67","2015","Glucose (A) +
Sodium Chloride (B)","Injection 5% (A) + 0.9% (B)","1581(E)","25-Mar-2026","₹ 66.59(1000ml Non-Glass)"
"","68","2015","Glucose (A) +
Sodium Chloride (B)","Injection 5% (A) + 0.9% (B)","1581(E)","25-Mar-2026","₹ 23.04(100ml Glass)"
"","69","2015","Glucose (A) +
Sodium Chloride (B)","Injection 5% (A) + 0.9% (B)","1581(E)","25-Mar-2026","₹ 39.12(500ml Non-Glass)"
"","70","2015","Glucose (A) +
Sodium Chloride (B)","Injection 5% (A) + 0.9% (B)","1581(E)","25-Mar-2026","₹ 45.29(500ml Glass)"
"","71","2015","Glucose (A) +
Sodium Chloride (B)","Injection 5% (A) + 0.9% (B)","1581(E)","25-Mar-2026","₹ 28.80(250ml Non-Glass)"
"","72","2015","Glucose (A) +
Sodium Chloride (B)","Injection 5% (A) + 0.9% (B)","1581(E)","25-Mar-2026","₹ 20.82(100ml Non-Glass)"
"","73","2015","Glutaraldehyde","Solution 2%","1581(E)","25-Mar-2026","₹ 0.08(1 ML)"
"","74","2015","Griseofulvin","Tablet 125 mg","1581(E)","25-Mar-2026","₹ 1.05(1 Tablet)"
"","75","2015","Griseofulvin","Tablet 375 mg","1581(E)","25-Mar-2026","₹ 5.48(1 Tablet)"
"","76","2015","Haemodialysis fluid","As Licensed --","1581(E)","25-Mar-2026","₹ 0.04(1 ML)"
"","77","2015","Hydrochlorothiazide","Tablet 50 mg","1581(E)","25-Mar-2026","₹ 0.10(1 Tablet)"
"","78","2015","Hydrogen peroxide","Solution 6%","1581(E)","25-Mar-2026","₹ 0.04(1 ML)"
"","79","2015","HYDROXOCOBALAMIN","INJECTION 1 mg/ml","1581(E)","25-Mar-2026","₹ 12.60(1 ML)"
"","80","2015","Ibuprofen","Capsule 200 mg","1581(E)","25-Mar-2026","₹ 3.41(1 Capsule)"
"","81","2015","Imatinib","Capsule 400 mg","1581(E)","25-Mar-2026","₹ 325.64(1 Capsule)"
"","82","2015","Ipratropium","Inhalation 20 MCG","1581(E)","25-Mar-2026","₹ 0.78(1 Dose)"
"","83","2015","Ketamine","Injection 10 mg","1581(E)","25-Mar-2026","₹ 13.51(1 ML)"
